name,url,price
3D Enlarged Mobile Phone Screen Amplifier / Magnifier,https://www.jumia.com.ng/generic-3d-enlarged-mobile-phone-screen-amplifier-magnifier-79437677.html,"₦ 2,199"
"Amani 55""INCHES 4k UHD ANDROID SMART LED TV",https://www.jumia.com.ng/amani-55inches-4k-uhd-android-smart-led-tv-77246701.html,"₦ 197,000"
"Rotating Jewelry Storage Box,Rotating Jewellery Organiser",https://www.jumia.com.ng/fashion-rotating-jewelry-storage-boxrotating-jewellery-organiser-81962227.html,"₦ 4,000"
2pcs Acrylic Happy Birthday Cake Topper,https://www.jumia.com.ng/generic-2pcs-acrylic-happy-birthday-cake-topper-78028534.html,"₦ 2,000"
SPY Camera For Security Mini Digital Camera Cctv Wireless,https://www.jumia.com.ng/generic-spy-camera-for-security-mini-digital-camera-cctv-wireless-82588088.html,"₦ 18,000"
"2.7"" Digital Video Camcorder 1080P Camera",https://www.jumia.com.ng/generic-2.7-digital-video-camcorder-1080p-camera-67869277.html,"₦ 13,499"
Djack 3D Bluetooth Home Theater System With Remote Dj 3030 Djack,https://www.jumia.com.ng/3d-bluetooth-home-theater-system-with-remote-dj-3030-djack-djack-mpg1526727.html,"₦ 56,999"
Weifeng WT-3520 Camera Video Mobile Phone Tripod 140Cm,https://www.jumia.com.ng/weifeng-wt-3520-camera-video-mobile-phone-tripod-140cm-74933222.html,"₦ 14,000"
Polystar 5.1CH Bluetooth Tallboy Home Theatre,https://www.jumia.com.ng/polystar-5.1ch-bluetooth-tallboy-home-theatre-71311657.html,"₦ 63,999"
Amazon Echo Dot (3rd Gen) - WiFi - Bluetooth Speaker - Heather Gray,https://www.jumia.com.ng/echo-dot-3rd-gen-wifi-bluetooth-speaker-heather-gray-amazon-mpg1471703.html,"₦ 23,499"
Dynamic Smart 3D TV Remote Control For LG MAGIC 3D Replace TV Remote Control(#Black),https://www.jumia.com.ng/generic-dynamic-smart-3d-tv-remote-control-for-lg-magic-3d-replace-tv-remote-controlblack-61840189.html,"₦ 7,314"
X88 PRO X3 4GB 128GB 32GB 64GB Amlogic S905X3 Quad-core Android 9.0 TV Box 4K,https://www.jumia.com.ng/generic-x88-pro-x3-4gb-128gb-32gb-64gb-amlogic-s905x3-quad-core-android-9.0-tv-box-4k-47978025.html,"₦ 22,000 - ₦ 23,000"
Blue Gate 100% Genuine Original BLUEGATE UPS 2.5KVA.,https://www.jumia.com.ng/100-genuine-original-bluegate-ups-2.5kva.-blue-gate-mpg1578486.html,"₦ 69,400"
"Mini Security Camera WiFi, With Inbuilt Battery Night Vision Surveillance Camera",https://www.jumia.com.ng/generic-mini-security-camera-wifi-with-inbuilt-battery-night-vision-surveillance-camera-80174039.html,"₦ 15,500"
Exquisite Floating DVD DSTV  Wall Decor Shelf,https://www.jumia.com.ng/generic-exquisite-floating-dvd-dstv-wall-decor-shelf-78819886.html,"₦ 13,900"
Programmable Remote Control Universal Remote For All Electronics Remote For All TV DVD AC Soundbar,https://www.jumia.com.ng/generic-programmable-remote-control-universal-remote-for-all-electronics-remote-for-all-tv-dvd-ac-soundbar-78270951.html,"₦ 2,300"
P47 Enhanced 5.0 Wireless Bluetooth Stereo Foldable Headphone - White,https://www.jumia.com.ng/p47-enhanced-5.0-wireless-bluetooth-stereo-foldable-headphone-white-63188062.html,"₦ 5,999"
Samsung Galaxy Super Fast Charging Adaptive(type C - Type C),https://www.jumia.com.ng/samsung-galaxy-super-fast-charging-adaptivetype-c-type-c-77146626.html,"₦ 5,500"
Portable Mini Camera Night Vision Motion Detection Camera,https://www.jumia.com.ng/generic-portable-mini-camera-night-vision-motion-detection-camera-66613632.html,"₦ 2,100"
3.5mm Wireless BT AUX Audio Stereo Music Home Car Receiver,https://www.jumia.com.ng/generic-3.5mm-wireless-bt-aux-audio-stereo-music-home-car-receiver-77191863.html,"₦ 1,980"
"Hisense 40” Smart Frameless TV+Netflix,Youtube APP– 40A6000",https://www.jumia.com.ng/hisense-40-smart-frameless-tvnetflixyoutube-app-40a6000-79591137.html,"₦ 171,999"
Century 2000VA AUTOMATIC VOLTAGE REGULATOR STABILIZER -,https://www.jumia.com.ng/2000va-automatic-voltage-regulator-stabilizer-century-mpg1189615.html,"₦ 22,990"
Gstar 813 3.1 Blutooth Speaker D-Marc Home Threater Black,https://www.jumia.com.ng/gstar-813-3.1-blutooth-speaker-d-marc-home-threater-black-81838339.html,"₦ 23,990"
360degree Panoramic 1080p Hidden Camera WiFi Fisheye Cctv,https://www.jumia.com.ng/generic-360degree-panoramic-1080p-hidden-camera-wifi-fisheye-cctv-58088440.html,"₦ 12,500"
LG XBOOM 40Watts Wireless Audio Streaming HiFi,https://www.jumia.com.ng/lg-xboom-40watts-wireless-audio-streaming-hifi-76670703.html,"₦ 37,000"
Panorama Camera Wireless Light Bulb Camera Wifi 360 Degree Camera,https://www.jumia.com.ng/generic-panorama-camera-wireless-light-bulb-camera-wifi-360-degree-camera-66029435.html,"₦ 13,500"
Polystar 43 INCH SMART CURVED LED TV,https://www.jumia.com.ng/polystar-43-inch-smart-curved-led-tv-73336101.html,"₦ 165,000"
P47 Enhanced 5.0 Wireless Bluetooth Stereo Foldable Headphone - White,https://www.jumia.com.ng/p47-enhanced-5.0-wireless-bluetooth-stereo-foldable-headphone-white-82119829.html,"₦ 5,300"
Strong STRONGEST FREE TO AIR DECODER + 2set Of Satellite Network,https://www.jumia.com.ng/strong-strongest-free-to-air-decoder-2set-of-satellite-network-82280120.html,"₦ 23,000"
YI LOT 10 LED WIFI IP Camera 3MP Weatherproof Wireless Outdoor PTZ IR Motion Detection CCTV Camera,https://www.jumia.com.ng/generic-yi-lot-10-led-wifi-ip-camera-3mp-weatherproof-wireless-outdoor-ptz-ir-motion-detection-cctv-camera-77187876.html,"₦ 14,625"
Samsung 55inch Ultra HDR 2020 Crystal Smart UHD LED 4K TV,https://www.jumia.com.ng/55inch-ultra-hdr-2020-crystal-smart-uhd-led-4k-tv-samsung-mpg1576492.html,"₦ 390,000"
Handsfree Apple Earpiece For Iphone SCREW MOUTH,https://www.jumia.com.ng/generic-handsfree-apple-earpiece-for-iphone-screw-mouth-81196885.html,"₦ 1,999"
1.8 * 3m / 6 * 9.8ft Professional Green Screen Backdrop,https://www.jumia.com.ng/generic-1.8-3m-6-9.8ft-professional-green-screen-backdrop-64797359.html,"₦ 8,825"
Wireless Headphones Bluetooth Earphone Earbuds Bass Headset Pro 6,https://www.jumia.com.ng/generic-wireless-headphones-bluetooth-earphone-earbuds-bass-headset-pro-6-79254514.html,"₦ 3,299"
Djack Elite 3.1 F3L Magnificient Bluetooth HOME THEATRE+DVD PLAYER,https://www.jumia.com.ng/djack-elite-3.1-f3l-magnificient-bluetooth-home-theatredvd-player-35003964.html,"₦ 30,990"
Wireless Music Bluetooth Earphone 5.0 Wireless HiFi Control Earpod_With Microphone,https://www.jumia.com.ng/wireless-music-bluetooth-earphone-5.0-wireless-hifi-control-earpodwith-microphone-79450933.html,"₦ 7,000"
"Aux Rigid Cables For All Iphones,3.5 Male Jack Audio Cable",https://www.jumia.com.ng/generic-aux-rigid-cables-for-all-iphones3.5-male-jack-audio-cable-68893158.html,"₦ 2,000"
Cctv Eyewear Spy Glasses With Full Hd 1080p Hidden Camera Video Recorder,https://www.jumia.com.ng/cctv-eyewear-spy-glasses-with-full-hd-1080p-hidden-camera-video-recorder-82940281.html,"₦ 16,000"
HDMI To AV Video Audio Adapter Converter White,https://www.jumia.com.ng/generic-hdmi-to-av-video-audio-adapter-converter-white-57191515.html,"₦ 4,300"
Mini Auriculares Bluetooth Headset Earphone Wireless,https://www.jumia.com.ng/generic-mini-auriculares-bluetooth-headset-earphone-wireless-65516123.html,"₦ 2,833"
Tie Clip IPhone Lapel Lavalier Microphone,https://www.jumia.com.ng/generic-tie-clip-iphone-lapel-lavalier-microphone-79263164.html,"₦ 7,000"
Maxtron 2KVA Automatic Voltage Stabilizer - 2000VA AVR,https://www.jumia.com.ng/maxtron-2kva-automatic-voltage-stabilizer-2000va-avr-71336889.html,"₦ 19,390"
 Smart Watch IP67 Heart Rate Monitor Blood Pressure Fitness Tracker Sport Wearable F8,https://www.jumia.com.ng/generic-smart-watch-ip67-heart-rate-monitor-blood-pressure-fitness-tracker-sport-wearable-f8-49871022.html,"₦ 6,780"
Cute Cartoon Wireless Headset For Girl Kids Headphone With Children Cartoon Cat Ears Headphones,https://www.jumia.com.ng/fashion-cute-cartoon-wireless-headset-for-girl-kids-headphone-with-children-cartoon-cat-ears-headphones-76133490.html,"₦ 5,990"
F8 Sport Wearable Smart Watch IP67 Heart Rate Monitor Blood Pressure Fitness Tracker,https://www.jumia.com.ng/generic-f8-sport-wearable-smart-watch-ip67-heart-rate-monitor-blood-pressure-fitness-tracker-66719795.html,"₦ 9,500"
Hisense 55 Inches Smart 4K UHD Frameless TV–,https://www.jumia.com.ng/hisense-55-inches-smart-4k-uhd-frameless-tv-73109556.html,"₦ 267,800"
1080P Night Version Mini HD CamMotion Detection Hidden Spycam Wireless Mini Cam Micro Secret Pinhole Action DVR,https://www.jumia.com.ng/generic-1080p-night-version-mini-hd-cammotion-detection-hidden-spycam-wireless-mini-cam-micro-secret-pinhole-action-dvr-80018189.html,"₦ 15,500"
A1 Bluetooth Sport Pedometer Wrist Watch A1 Smartwatch,https://www.jumia.com.ng/a1-bluetooth-sport-pedometer-wrist-watch-a1-smartwatch-79450261.html,"₦ 7,500"
T55 Smartwatch Full Touch Screen Fitness Tracker Sports,https://www.jumia.com.ng/generic-t55-smartwatch-full-touch-screen-fitness-tracker-sports-77357146.html,"₦ 10,780"
1080P MiraScreen Screen Mirror Display IOS Android Like Mira Chrome Cast (Black) JIAN-HE,https://www.jumia.com.ng/generic-1080p-mirascreen-screen-mirror-display-ios-android-like-mira-chrome-cast-black-jian-he-24455048.html,"₦ 4,242"
"Hisense 50-Inch Smart UHD 4K TV Black, With Bluetooth",https://www.jumia.com.ng/50-inch-smart-uhd-4k-tv-50-2019-black-with-dstv-now-app-hisense-mpg1224272.html,"₦ 254,700"
12 Inch Led Ring Fill Light,https://www.jumia.com.ng/generic-12-inch-led-ring-fill-light-70638736.html,"₦ 14,500"
Super Powerful Bluetooth Home Theatre System,https://www.jumia.com.ng/generic-super-powerful-bluetooth-home-theatre-system-71085078.html,"₦ 23,990"
Jiepak Heavy Duty Home Theater System - HT-5505,https://www.jumia.com.ng/jiepak-heavy-duty-home-theater-system-ht-5505-77447971.html,"₦ 68,700"
Boseng 3.1Ch XBass Bluetooth Home Theatre + Free LG Dvd,https://www.jumia.com.ng/boseng-3.1ch-xbass-bluetooth-home-theatre-free-lg-dvd-82042793.html,"₦ 28,500"
Canon Selphy CP1000 Portable Compact Photo Color Printer,https://www.jumia.com.ng/selphy-cp1000-portable-compact-photo-color-printer-canon-mpg1195194.html,"₦ 47,000"
Mini Digital Satellite Finder Meter Signal Strength Dish Sat Direct Compass,https://www.jumia.com.ng/generic-mini-digital-satellite-finder-meter-signal-strength-dish-sat-direct-compass-71673933.html,"₦ 5,000"
3.5mm Wired Gaming And Microphone Headphone For Xbox-ONE PS4,https://www.jumia.com.ng/generic-3.5mm-wired-gaming-and-microphone-headphone-for-xbox-one-ps4-71474930.html,"₦ 3,261"
Super X Bass Bluetooth Home Theatre System 3.1 + Free LG DVD Player,https://www.jumia.com.ng/generic-super-x-bass-bluetooth-home-theatre-system-3.1-free-lg-dvd-player-82307551.html,"₦ 28,988"
"Hisense 65''Smart UHD 4K TV+Netflix,Youtube,Prime Video APP",https://www.jumia.com.ng/hisense-65smart-uhd-4k-tvnetflixyoutubeprime-video-app-81170975.html,"₦ 369,500"
Arduino Uno Board (atmega328),https://www.jumia.com.ng/uno-r3-arduino-mpg218279.html,"₦ 8,000"
Professional Video And Photo Led Light Kit With Varicolour And Tripod + 2battery And Charger,https://www.jumia.com.ng/generic-professional-video-and-photo-led-light-kit-with-varicolour-and-tripod-2battery-and-charger-65714626.html,"₦ 31,000"
Djack Powerful Bluetooth Home Theater+ Free DVD & 8GB Flash Drive,https://www.jumia.com.ng/powerful-bluetooth-home-theater-free-dvd-player-8gb-flash-drive-djack-mpg1570841.html,"₦ 34,000"
Nikon D3200,https://www.jumia.com.ng/nikon-d3200-43692043.html,"₦ 165,000"
Djack Powerful Bluetooth Home Theater+ Free DVD & 8GB Flash Drive,https://www.jumia.com.ng/powerful-bluetooth-home-theater-free-dvd-player-8gb-flash-drive-djack-mpg1570841.html,"₦ 34,000"
2.6 X 3M Adjustable Photography Background Stand With Free Carry Bag,https://www.jumia.com.ng/generic-2.6-x-3m-adjustable-photography-background-stand-with-free-carry-bag-67561488.html,"₦ 25,400"
LG DVD Home Theatre System-LHD667,https://www.jumia.com.ng/lg-dvd-home-theatre-system-lhd667-73220291.html,"₦ 121,000"
MK Penis Massage Essential Oil For Enlargement- 3 Bottles,https://www.jumia.com.ng/mk-penis-massage-essential-oil-for-enlargement-3-bottles-79578601.html,"₦ 3,500"
SUOER 3000w / 3000watts Inverter With Lowest Energy Consumption,https://www.jumia.com.ng/suoer-3000w-3000watts-inverter-with-lowest-energy-consumption-18818594.html,"₦ 23,500"
RING FILL LIGHT WITH TRIPOD STAND,https://www.jumia.com.ng/generic-ring-fill-light-with-tripod-stand-63040218.html,"₦ 12,500"
Sony MDR-E9LP In-Ear Headphones Without Mic,https://www.jumia.com.ng/sony-mdr-e9lp-in-ear-headphones-without-mic-73083922.html,"₦ 3,200"
"Tripod Stand With Phone Lens, Phone Clip & Bluetooth Shutter",https://www.jumia.com.ng/generic-tripod-stand-with-phone-lens-phone-clip-bluetooth-shutter-44113748.html,"₦ 5,500"
Plantronics BlackWire C3220 Usb-a Headset (209745-101),https://www.jumia.com.ng/plantronics-blackwire-c3220-usb-a-headset-209745-101-24497284.html,"₦ 32,550"
Blue Gate 100% Genuine BLUE GATE - UPS Battery - 12V7AH/20HR,https://www.jumia.com.ng/100-genuine-blue-gate-ups-battery-12v7ah20hr-blue-gate-mpg1565640.html,"₦ 8,000"
Anycast Anycats Miracast HDMI M9 PLUS 4K HD 2.4G/5G WiFi Dual Frequency Wireless HDMI TV Same Screen Receiver Fit For Apple Tv Android Tv Mobile Screen Cast,https://www.jumia.com.ng/anycast-anycats-miracast-hdmi-m9-plus-4k-hd-2.4g5g-wifi-dual-frequency-wireless-hdmi-tv-same-screen-receiver-fit-for-apple-tv-android-tv-mobile-screen-cast-56994876.html,"₦ 5,099"
Zealot H1 Wireless Bluetooth Sports Earphones Neckband,https://www.jumia.com.ng/zealot-h1-wireless-bluetooth-sports-earphones-neckband-71402094.html,"₦ 8,500"
Chrome Cast Media Streaming Device- Black,https://www.jumia.com.ng/generic-chrome-cast-media-streaming-device-black-72059648.html,"₦ 6,400"
New Model Home Theatre Sounds System 3.1 And DVD Player,https://www.jumia.com.ng/generic-new-model-home-theatre-sounds-system-3.1-and-dvd-player-46467324.html,"₦ 28,990"
Hisense 43''Smart TV + Netflix&Youtube APP 12 Months Warranty,https://www.jumia.com.ng/hisense-43smart-tv-netflixyoutube-app-12-months-warranty-68877472.html,"₦ 158,000"
AV To RF Modulator TV Switch  DSTV/KWESETV/STARTIMES,https://www.jumia.com.ng/generic-av-to-rf-modulator-tv-switch-dstvkwesetvstartimes-72118891.html,"₦ 2,999"
"Konka 50""Inchs Andriod Smart 4K TV",https://www.jumia.com.ng/konka-50inchs-andriod-smart-4k-tv-77356695.html,"₦ 181,999"
Romoss Romos Ares 20 20000mAh Power Bank,https://www.jumia.com.ng/romoss-romos-ares-20-20000mah-power-bank-78467057.html,"₦ 12,500"
Sony AA  SONY RECHARGEABLE BATTERIES With Allight Charger,https://www.jumia.com.ng/sony-aa-sony-rechargeable-batteries-with-allight-charger-82802810.html,"₦ 4,950"
Jiepak Jp-sz- C3 Blutooth Home Theater+free DVD Player,https://www.jumia.com.ng/jiepak-jp-sz-c3-blutooth-home-theaterfree-dvd-player-71306418.html,"₦ 45,500"
"Itel 43"" Inches A4310AE FHD TV (With Over Voltage Protection)",https://www.jumia.com.ng/itel-43-inches-a4310ae-fhd-tv-with-over-voltage-protection-78827112.html,"₦ 122,000"
Fingerprint Touch Bluetooth 5.0 Earphones Wireless 4D Stereo Headphones,https://www.jumia.com.ng/generic-fingerprint-touch-bluetooth-5.0-earphones-wireless-4d-stereo-headphones-64736840.html,"₦ 2,690"
LG 5.1 Ch.Bluetooth DVD Home Theatre System 1000W,https://www.jumia.com.ng/lg-5.1-ch.bluetooth-dvd-home-theatre-system-1000w-73208362.html,"₦ 144,999"
U3 Mini Android 9 2GB 16GB TV Box With BT & WiFi + Wireless Mouse,https://www.jumia.com.ng/generic-u3-mini-android-9-2gb-16gb-tv-box-with-bt-wifi-wireless-mouse-59216071.html,"₦ 19,500"
S109 Wireless Bluetooth Headset,https://www.jumia.com.ng/generic-s109-wireless-bluetooth-headset-69962288.html,"₦ 4,500"
Jbl FLIP 5 Waterproof Portable Bluetooth Speaker - Black,https://www.jumia.com.ng/jbl-flip-5-waterproof-portable-bluetooth-speaker-black-64939061.html,"₦ 52,000"
Headphone Splitter Audio Cable 3.5mm Male To 2 Female Jack,https://www.jumia.com.ng/generic-headphone-splitter-audio-cable-3.5mm-male-to-2-female-jack-65137624.html,"₦ 1,630"
Nikon D5300 DSLR Camera With 18-55mm & 70-300mm Lens,https://www.jumia.com.ng/nikon-d5300-dslr-camera-with-18-55mm-70-300mm-lens-42099689.html,"₦ 325,000"
LG 1250W Home Theater System LHD687,https://www.jumia.com.ng/lg-1250w-home-theater-system-lhd687-82880460.html,"₦ 153,980"
Handheld Video Stabilizer For IPhone Canon Nikon Sony DSLR Camera + 1 Free Nikon Camera Strap & 1 Free Mobile Camera Lens,https://www.jumia.com.ng/generic-handheld-video-stabilizer-for-iphone-canon-nikon-sony-dslr-camera-1-free-nikon-camera-strap-1-free-mobile-camera-lens-51832554.html,"₦ 6,700"
SUOER 20amps 12volts Inverter Battery Charger,https://www.jumia.com.ng/suoer-20amps-12volts-inverter-battery-charger-71819723.html,"₦ 11,900"
Gstar 3.1 812 Powerful Bluetooth Home Theatre System,https://www.jumia.com.ng/gstar-3.1-812-powerful-bluetooth-home-theatre-system-81926609.html,"₦ 23,990"
Super Sound Latest Home Theatre System 3.1 + Free DVD Player,https://www.jumia.com.ng/super-sound-latest-home-theatre-system-3.1-free-dvd-player-80319042.html,"₦ 27,950"
ZoneGod 55 Inch Smart Television+free Mouse,https://www.jumia.com.ng/zonegod-55-inch-smart-televisionfree-mouse-63446567.html,"₦ 197,000"
